vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
1,0,0,0
2,2,2,0
3,5,5,0
4,8,8,0
5,12,12,0
6,16,16,0
7,20,20,0
8,24,24,0
9,29,29,0
10,34,34,0
11,39,39,0
12,44,44,0
13,49,49,0
14,54,54,0
15,59,59,0
16,64,64,0
17,70,70,0
18,76,76,0
19,82,82,0
20,88,88,0
21,94,94,0
22,100,100,0
23,106,106,0
24,112,112,0
25,118,118,0
26,124,124,0
27,130,130,0
28,136,136,0
29,142,142,0
30,148,148,0
31,154,154,0
32,160,160,0
33,167,167,0
34,174,174,0
35,181,181,0
36,188,188,0
37,195,195,0
38,202,202,0
39,209,209,0
40,216,216,0
41,223,223,0
42,230,230,0
43,237,237,0
44,244,244,0.000721
45,251,251,0
46,258,258,0
47,265,265,0
48,272,272,0
49,279,279,0
50,286,286,0
51,293,293,0
52,300,300,0
53,307,307,0
54,314,314,0
55,321,321,0.000138
56,328,328,1.5e-005
57,335,335,5e-006
58,342,342,0
59,349,349,2.6e-005
60,356,356,1.4e-005
61,363,363,1.6e-005
62,370,370,0
63,377,377,0
64,384,384,0
65,392,392,0
66,400,400,0
67,408,408,0
68,416,416,0
69,424,424,0
70,432,432,0
71,440,440,1.5e-005
72,448,448,1.5e-005
73,456,456,1.4e-005
74,464,464,2.9e-005
75,472,472,1.4e-005
76,480,480,2e-005
77,488,488,0
78,496,496,0
79,504,504,0
80,512,512,0
81,520,520,0
82,528,528,1.4e-005
83,536,536,1.4e-005
84,544,544,2.5e-005
85,552,552,1.4e-005
86,560,560,2e-005
87,568,568,0
88,576,576,0
89,584,584,0
90,592,592,0
91,600,600,0
92,608,608,0
93,616,616,0
94,624,624,0
95,632,632,0
96,640,640,0
97,648,648,0
98,656,656,0
99,664,664,0.0003
100,672,672,5.2e-005
101,680,680,2.8e-005
102,688,688,2.8e-005
103,696,696,2.8e-005
104,704,704,0
105,712,712,5.2e-005
106,720,720,1.4e-005
107,728,728,0
108,736,736,1.4e-005
109,744,744,0
110,752,752,0
111,760,760,0
112,768,768,0
113,776,776,0
114,784,784,0
115,792,792,0
116,800,800,0
117,808,808,0
118,816,816,0
119,824,824,0
120,832,832,0
121,840,840,0
122,848,848,0
123,856,856,0
124,864,864,0
125,872,872,0
126,880,880,0
127,888,888,0
128,896,896,0
129,905,905,0
130,914,914,0
131,923,923,0
132,932,932,0
133,941,941,0
134,950,950,0.000691
135,959,959,0
136,968,968,0
137,977,977,0
138,986,986,0
139,995,995,0.000216
140,1004,1004,0
141,1013,1013,0
142,1022,1022,0
143,1031,1031,9.6e-005
144,1040,1040,2.9e-005
145,1049,1049,0
146,1058,1058,0.000103
147,1067,1067,0
148,1076,1076,7.7e-005
149,1085,1085,0
150,1094,1094,0
151,1103,1103,2e-005
152,1112,1112,5e-006
153,1121,1121,5.8e-005
154,1130,1130,0
155,1139,1139,6.9e-005
156,1148,1148,0
157,1157,1157,7.9e-005
158,1166,1166,2.8e-005
159,1175,1175,4.7e-005
160,1184,1184,1.8e-005
161,1193,1193,0
162,1202,1202,0
163,1211,1211,0
164,1220,1220,0
165,1229,1229,0
166,1238,1238,0
167,1247,1247,0
168,1256,1256,0
169,1265,1265,0
170,1274,1274,0
171,1283,1283,0
172,1292,1292,0
173,1301,1301,0
174,1310,1310,0
175,1319,1319,0
176,1328,1328,0
177,1337,1337,0
178,1346,1346,0
179,1355,1355,0
180,1364,1364,0
181,1373,1373,0
182,1382,1382,0
183,1391,1391,0
184,1400,1400,0.000928
185,1409,1409,0
186,1418,1418,0
187,1427,1427,0
188,1436,1436,0
189,1445,1445,0
190,1454,1454,0
191,1463,1463,0
192,1472,1472,0
193,1481,1481,0
194,1490,1490,0
195,1499,1499,0
196,1508,1508,0
197,1517,1517,0
198,1526,1526,0
199,1535,1535,0
200,1544,1544,0
201,1553,1553,0
202,1562,1562,0
203,1571,1571,0
204,1580,1580,0
205,1589,1589,0
206,1598,1598,0
207,1607,1607,0
208,1616,1616,0
209,1625,1625,0
210,1634,1634,0
211,1643,1643,0
212,1652,1652,0
213,1661,1661,0
214,1670,1670,0
215,1679,1679,0
216,1688,1688,0
217,1697,1697,0
218,1706,1706,0
219,1715,1715,6e-006
220,1724,1724,7.4e-005
221,1733,1733,3.1e-005
222,1742,1742,0
223,1751,1751,0
224,1760,1760,0
225,1769,1769,0
226,1778,1778,4.5e-005
