vectorLength,actualAverageNumPartitions,expecteAverageNumPartitions,actualAverageNumComparisons,expectedAverageNumComparisons,actualAverageNumSwaps,expectedAverageNumSwaps
1,1,1,2,2,0,-0.0555556
2,2,2,5,5,0,-2.1272e-016
3,3,3,8.66667,8.66667,0.166667,0.166667
4,4,4,12.8333,12.8333,0.416667,0.416667
5,5,5,17.4,17.4,0.733333,0.733333
6,6,6,22.3,22.3,1.10556,1.10556
7,7,7,27.4857,27.4857,1.5254,1.5254
8,8,8,32.9214,32.9214,1.9869,1.9869
9,9,9,38.5794,38.5794,2.48545,2.48545
10,10,10,44.28,44.4373,3.08,3.01733
11,11,11,50.5702,50.4771,3.58678,3.57951
12,12,12,56.8889,56.6835,4.07639,4.16947
13,13,13,63.2249,63.0437,4.77515,4.78507
14,14,14,69.9388,69.5469,5.27041,5.42448
15,15,15,76.5111,76.1833,6.02667,6.08611
16,16,16,82.2383,82.9448,6.71094,6.76858
17,17,17,89.7612,89.8239,7.47751,7.47065
18,18,18,96.3889,96.8141,8.20988,8.19124
19,19,19,104.482,103.91,8.80609,8.92938
20,20,20,111.075,111.105,9.56,9.68418
21,21,21,118.705,118.396,10.4218,10.4549
22,22,22,124.802,125.777,11.5041,11.2407
23,23,23,133.442,133.246,12.0019,12.041
24,24,24,140.802,140.798,12.9132,12.8552
25,25,25,147.259,148.43,13.8736,13.6827
26,26,26,155.709,156.139,14.5311,14.5231
27,27,27,163.963,163.922,15.3649,15.3758
28,28,28,170.894,171.776,16.2309,16.2404
29,29,29,178.593,179.699,17.2735,17.1165
30,30,30,187.14,187.689,18.1789,18.0038
31,31,31,195.438,195.744,19.0052,18.9017
32,32,32,202.981,203.861,19.8984,19.8101
33,33,33,212.114,212.038,20.8301,20.7286
34,34,34,219.896,220.275,21.6687,21.6569
35,35,35,227.746,228.568,22.742,22.5947
36,36,36,236.114,236.917,23.6343,23.5418
37,37,37,244.318,245.321,24.6669,24.4979
38,38,38,253.856,253.776,25.5367,25.4627
39,39,39,262.978,262.283,26.4911,26.4361
40,40,40,271.057,270.841,27.5131,27.4179
41,41,41,279.193,279.446,28.4545,28.4077
42,42,42,287.476,288.1,29.568,29.4055
43,43,43,296.726,296.8,30.4175,30.4111
44,44,44,305.37,305.545,31.3786,31.4242
45,45,45,312.93,314.335,32.6291,32.4448
46,46,46,323.082,323.169,33.5279,33.4725
47,47,47,330.437,332.045,35.0362,34.5074
48,48,48,340.289,340.962,35.684,35.5492
49,49,49,349.259,349.921,36.7884,36.5979
50,50,50,358.78,358.919,37.6204,37.6532
51,51,51,368.72,367.957,38.777,38.715
52,52,52,375.807,377.033,39.9708,39.7832
53,53,53,383.861,386.146,41.1089,40.8577
54,54,54,392.997,395.297,42.4407,41.9384
55,55,55,403.562,404.485,43.1299,43.0252
56,56,56,412.333,413.708,44.4391,44.1179
57,57,57,422.556,422.966,45.2081,45.2165
58,58,58,432.17,432.258,46.3478,46.3208
59,59,59,440.582,441.584,47.6082,47.4307
60,60,60,450.875,450.944,48.8056,48.5463
61,61,61,459.208,460.337,49.9282,49.6672
62,62,62,468.53,469.762,51.2617,50.7936
63,63,63,477.819,479.218,52.2698,51.9252
64,64,64,488.07,488.706,53.3201,53.0621
65,65,65,495.606,498.224,54.7394,54.2041
66,66,66,504.228,507.773,56.3914,55.3511
67,67,67,514.99,517.352,57.1865,56.5031
68,68,68,524.447,526.96,58.1464,57.66
69,69,69,534.657,536.597,59.2399,58.8217
70,70,70,545.642,546.263,60.0261,59.9882
71,71,71,553.404,555.957,61.3823,61.1594
72,72,72,564.372,565.678,62.5623,62.3353
73,73,73,576.412,575.427,63.4417,63.5157
74,74,74,584.494,585.203,64.8347,64.7006
75,75,75,593.675,595.006,66.1609,65.8899
76,76,76,601.781,604.835,67.8386,67.0836
77,77,77,613.454,614.69,68.6553,68.2817
78,78,78,622.127,624.571,70.0554,69.484
79,79,79,633.764,634.477,70.8419,70.6906
80,80,80,643.22,644.408,72.4066,71.9013
81,81,81,649.615,654.363,74.1032,73.1161
82,82,82,661.625,664.343,74.9868,74.335
83,83,83,672.675,674.347,75.7603,75.5579
84,84,84,683.501,684.375,77.054,76.7848
85,85,85,692.317,694.427,78.7143,78.0156
86,86,86,703.017,704.502,79.5579,79.2503
87,87,87,710.885,714.599,81.4615,80.4888
88,88,88,722.911,724.72,82.2407,81.7311
89,89,89,735.082,734.863,82.8567,82.9771
90,90,90,743.758,745.028,84.598,84.2269
91,91,91,753.278,755.215,86.1689,85.4803
92,92,92,760.857,765.424,87.8404,86.7373
93,93,93,773.141,775.654,88.5825,87.9979
94,94,94,780.973,785.906,90.7038,89.2621
95,95,95,794.868,796.179,90.9945,90.5298
96,96,96,802.284,806.472,92.7627,91.8009
97,97,97,812.396,816.786,94.2708,93.0755
98,98,98,825.87,827.121,94.7904,94.3535
99,99,99,832.852,837.476,96.6168,95.6348
100,100,100,846.062,847.85,97.4682,96.9195
